tranche,zincid,SMILES
H25P120,ZINCpi00000SOeK8,O=C(NC/C=C/CC(=O)N1CCc2c[nH]nc2C1)c1ccc(F)cn1
H21P280,ZINCly00000g4co6,C[C@@H]1CC2(CCN(CC(=O)c3ccc(F)cc3)CC2)CO1
H23P050,ZINCnb00000gEhcZ,CCCC[C@@H](NC(N)=O)C(=O)N[C@@H]1CCN(C2CCOCC2)C1
H25P280,ZINCpy00000xCXNZ,C[C@]1(NC(=O)c2ccc3[nH]ccc3c2)C[C@@H](C(=O)NC[C@@H]2C[C@@H]2Cl)C1
H24P110,ZINCoh00000op9rD,C[C@]1(C#N)CCN(C(=O)[C@H]2C[C@H](F)CN(C(=O)[C@H]3CCCO3)C2)C1
H24M000,ZINCo50000020522,COC[C@@H](O)C(=O)NC[C@@H](O)CNC(=O)c1csc(C(C)(C)C)n1
H25P230,ZINCpt000003jo0M,O=C(Cc1ccncc1Cl)N[C@@H]1C[C@@H]2CN(C(=O)C=C3CCC3)C[C@H]21
H25P070,ZINCpd00000VW6FS,C[C@@H]1Cn2nccc2CN1N1CCC(C[C@]2(C)NC(=O)NC2=O)CC1
H24P140,ZINCok00000op9rJ,Cc1cnc(CNC(=O)[C@H]2C[C@H](NCc3nn(C)cc3Br)C2)cn1
H24P110,ZINCoh00000op9rM,CC1(C#N)CCN(C(=O)[C@H]2C[C@H](NC(=O)CN3CCCC3)C2)CC1
H25P260,ZINCpw00000xCXNG,C[C@@]1(NC(=O)C2CCC2)CCC[C@H]1NC(=O)c1cc(F)cc(F)c1O
H25P130,ZINCpj00000SOeJ5,O=C(NCCC#CCO)[C@H]1C[C@H]2C[C@H]1CN(C(=O)c1cnc(Cl)s1)C2
H25P160,ZINCpm00000SJ7JB,CC[C@H](O)CC(=O)N[C@@H]1CCC[C@@H](C(=O)N[C@H]2CCC[C@@H](O)CC2)C1
H23P300,ZINCnA000003KA5G,CC(C)C[C@@H](C)CN1CCCC[C@H]1CNC(=O)C1CCOCC1
H25P290,ZINCpz00000O4g8i,CCc1cc(CN(CC2(n3cccn3)CC2)C(=O)C2CC(Cl)C2)on1
H24P070,ZINCod00000HLqfV,CC1(C)C[C@@H](NC(=O)C=CCO)CN1C(=O)[C@@H](O)CCC(F)(F)F
H24P110,ZINCoh00000op9rW,Cc1cncc(NC(=O)[C@H]2CCN2Cc2cc(O)c(O)c(O)c2)n1
H25P170,ZINCpn00000SOeJa,O=C(NCCCCCO)[C@H]1CCN(C(=O)C2CC3(CSC3)C2)C12CC2
H25M000,ZINCp500002sYBRO,COC(=O)c1cc([C@@H](NC[C@H](C)S(N)(=O)=O)c2nnnn2C)c(C)s1
H25P140,ZINCpk00000SOeJv,O=C(NCCC#CCO)[C@@H](F)CC1CN(C(=O)C[C@H]2CC=CCC2)C1
H24M000,ZINCo500000204hX,COC[C@@H](O)C(=O)NCC[C@H]1CCCN1C(=O)[C@H](C)CS(C)(=O)=O
H25M000,ZINCp500002sYBSp,COC(=O)[C@]1(C)CCN1C(=O)[C@@H]1C[C@H]1CNC(=O)Cc1cn(C)cn1
H19P160,ZINCjm00001bPvgG,CN(C)C(=O)C(C)(C)CNC(=O)C1(C)CC(F)(F)C1
H24P180,ZINCoo00000si4fw,CCOC(=O)[C@@H]1C[C@]12C[C@H]2C(=O)OCC(=O)Nc1cccnc1Cl
H25P210,ZINCpr000002rH69,CCn1cc(CN(C)c2nnc(C)n2CCN2CCC[C@@H](C)C2)cn1
H25P260,ZINCpw00000xCXNr,CC1(NC(=O)C2=C[C@]3(CCN(C(=O)[C@H]4CCSC4)C3)C2)CCSCC1
H24P080,ZINCoe00000HLqg9,CC1=CC[C@H](NC(=O)C[C@@H]2CCCN(C(=O)CNC(N)=O)C2)CC1
H23P250,ZINCnv00000r2f9c,C[C@H](CN=[N+]=[N-])NC(=O)C[C@@H](NC(=O)C1=C(Cl)CC1)C(F)(F)F
H24P150,ZINCol00000op9rH,Cc1cnc(CNC(=O)[C@H]2C[C@@H](NCc3cccc(CO)n3)C2)s1
H25P230,ZINCpt000003jnSr,O=C(Cc1cccs1)NC[C@@H]1CCN1Cc1nc(-c2ccco2)no1
H25P100,ZINCpg00002sYBRw,COC(=O)c1ccc(C(=O)N2C[C@H]3C[C@@H]2[C@H]3NC(=O)[C@@H]2C[C@@]2(F)Cl)[nH]1
H24P260,ZINCow000007IXeo,Cc1ccoc1C(=O)NC[C@H]1C[C@H](NC(=O)c2ccsn2)C1(C)C
H23P300,ZINCnA000003KA4A,CC(C)C[C@@H](C)CN1CCC(C)(CNC(=O)[C@H]2CCCO2)CC1
H24P180,ZINCoo00000si4fj,CCOC(=O)[C@@H]1C[C@]12C[C@H]2C(=O)N[C@H](CO)c1ccc(C)cc1F
H25P180,ZINCpo00000SJ7JF,C=C[C@@H](OC)C(=O)N[C@H]1C=CC[C@H](C(=O)N[C@H](C)c2ncc(C)o2)C1
H24P260,ZINCow000007IX59,Cc1ccoc1C(=O)NC[C@H](CC(C)C)NC(=O)c1c[nH]nc1Br
H22P280,ZINCmy000006BXrf,CC1(C)[C@@H](c2ccccc2)CCN1C(=O)[C@@]1(C#N)CCCO1
H25P230,ZINCpt000003jnHR,O=C(Cc1ccco1)N[C@H]1C=CCN(C(=O)c2ccc(O)c(Cl)c2)C1
H25P030,ZINCp900000VW6FF,C[C@H]1CN2CCN1C[C@@H]2C(=O)NCCNC(=O)C1(C2CC2)CC=CC1
H20P140,ZINCkk00001bPvgR,CN(C)C(=O)C(C)(C)CNC(=O)CC[C@H](O)C(C)(C)C
H23P050,ZINCnb00000gEhve,CCCC[C@@H](O)C(=O)N1C[C@@H](NC(=O)C(C)(C)O)[C@H](C(F)F)C1
H24P260,ZINCow000007IWXA,Cc1ccoc1C(=O)NC[C@@H]1C[C@H](NC(=O)CC(F)F)C12CCC2
H23P210,ZINCnr00000r2f98,C[C@H](CN=[N+]=[N-])NC(=O)C[C@H]1CN(C(=O)[C@@H](C)C(F)F)C[C@@H]1C
H25P250,ZINCpv00000xCXNs,C[C@]1(NC(=O)C2=C[C@]3(CCN(C(=O)CN=[N+]=[N-])C3)C2)CCCC1(F)F
H25P190,ZINCpp00000SOeK0,O=C(NCCCCC(=O)N1CCc2ccncc2C1)c1n[nH]cc1Cl
H25P150,ZINCpl00000SJ7JA,C=C[C@H](OC)C(=O)N[C@H]1C=CC[C@H](C(=O)NC[C@@H](O)C(CC)CC)C1
H25P260,ZINCpw00000xCXOe,C[C@@]1(NC(=O)c2ccc(-c3ccccn3)nc2O)Cc2ccccc21
H25P270,ZINCpx00000xCXNI,C[C@@]1(NC(=O)C2=CCC2)CCC[C@H]1NC(=O)[C@H]1Cc2ccc(F)cc21
H24P140,ZINCok00000op9s2,C[C@@]1(C#N)CCN(C(=O)[C@@H]2CCN2C(=O)COc2ccccc2)C1
H25P270,ZINCpx00000xCXNP,C[C@]1(NC(=O)C2CC(C3CC3)C2)CCN(C(=O)CCc2ccoc2)C1
H25P250,ZINCpv00000xCXO4,C[C@@]1(NC(=O)C2=CCCC2)CCC[C@H]1NC(=O)c1cnn(C(F)F)c1
H25M000,ZINCp500000VW6FR,C[C@@H]1CN2CCN1[C@H](C(=O)N[C@H]1C[C@@H](NC(=O)Cc3cnco3)C1)C2
H25P230,ZINCpt000003jnJ6,O=C(Cc1ccco1)N[C@]1(CF)CCN(C(=O)CC[C@@H]2CC2(F)F)C1
H25P250,ZINCpv00000xCXO3,C[C@@]1(NC(=O)C2CC=CC2)CCC[C@H]1NC(=O)c1cnn2ccsc12
H25P230,ZINCpt000003jo6W,O=C(Cc1ccoc1)NCC(F)=C1CN(C(=O)c2ccnc(Cl)c2)C1
H22P280,ZINCmy000006BXB7,CC1(C)[C@H](CNC(=O)/C(Cl)=C/Cl)C[C@H]1NC(=O)c1ccoc1
H23P270,ZINCnx00000r2f95,C[C@H](CN=[N+]=[N-])NC(=O)C[C@H]1CCN1C(=O)c1cccc(Cl)c1
H25P020,ZINCp800002sYBS9,COC(=O)[C@]1(C)C[C@@H](NC(=O)N(C)C2CCN(C(N)=O)CC2)CCO1
H24P310,ZINCoB00000m13hI,Cn1cncc1[C@H]1CCCCN1Cc1noc(-c2ccccc2)n1
H25P080,ZINCpe00000VW6FE,C[C@H]1CN2CCN1C[C@@H]2C(=O)N(C)CCN(C)C(=O)CC1(C)CCC1
H24P140,ZINCok00000op9rY,Cc1cncc(NC(=O)[C@@H]2CCN2C(=O)c2ccc(F)c(C)n2)n1
H25P050,ZINCpb00002sYBRx,COC(=O)C1CCC(C(=O)N[C@]2(CC(=O)O)CCCS(=O)(=O)C2)CC1
H25P270,ZINCpx00000xCXNo,C[C@]1(NC(=O)C2=C[C@@]3(CCN(C(=O)[C@H]4CC45CCC5)C3)C2)CCSC1
H25P210,ZINCpr000002rH0K,CCn1cc(CCN(CCCNC(=O)c2ccncc2)C2CC2)cn1
H25P210,ZINCpr000002rHG2,CCn1cc(Cl)c(C(=O)NCC[C@H](C)NC(=O)COC2(C)CCC2)n1
H25M100,ZINCp400002sYBSq,COC(=O)[C@]1(C)CCN1C(=O)[C@@H]1C[C@H]1CNC(=O)[C@@H]1C[C@@H](O)CN1C
H23P050,ZINCnb00000gEcSA,CCCCC1(C(=O)N2CCN(C(=O)C=CCO)[C@H](CO)C2)CC1
H25P090,ZINCpf00002sYBRH,COC(=O)c1cccc(S(=O)(=O)NC(=O)[C@@]2(C)C[C@H]3CNCC[C@H]32)c1
H24P080,ZINCoe00000HLqfT,CC1(C)C[C@H](NC(=O)/C=C/CNC(=O)CN2CSCC2=O)C12CC2
H23P050,ZINCnb00000gEeHI,CCCCN1CCCC[C@@H]1C(=O)NC[C@@H]1CCN(C(=O)CO)C1
H25P230,ZINCpt000003jnQY,O=C(Cc1cccs1)NC[C@@H]1CC(F)(F)CN1C(=O)Cc1cscn1
H25P280,ZINCpy00000xCXNx,C[C@]1(NC(=O)C2CC3(CSC3)C2)CCCC[C@@H]1C(=O)NCC1(F)CC1
H25P150,ZINCpl00000SOeJn,O=C(NCCCCCO)[C@@H]1CN(C(=O)C=Cc2ccc[nH]2)CC12CC2
H25P260,ZINCpw00000xCXNO,CC1(NC(=O)C2CC(C3CC3)C2)CCN(C(=O)[C@]23CSC[C@@H]2C3)CC1
H24P260,ZINCow000007IWMo,Cc1ccoc1C(=O)NC[C@@H](C)CNC(=O)c1c(C)[nH]c(C)c1C
H22P280,ZINCmy000006BXBP,CC1(C)[C@H](CNC(=O)CC=C(Cl)Cl)C[C@H]1NC(=O)C=CCF
H25P230,ZINCpt000003jo2P,O=C(Cc1ccoc1)N1CCC2(C1)CN(C(=O)[C@@H]1C[C@@H]3CCC[C@@H]31)C2
H25P170,ZINCpn00000SJ7JK,CC[C@H](OC)C(=O)N[C@H]1CCC[C@H](NC(=O)Cc2cccnc2F)C1
H24P080,ZINCoe00000HLqfO,CC1=CC[C@H](NC(=O)C#CCNC(=O)[C@H](O)c2cccnc2)CC1
H25P210,ZINCpr000002rHpS,CCn1cc(Cl)c(C(=O)N2CC[C@H](NC(=O)C3CC=CC3)[C@H](F)C2)n1
H23P230,ZINCnt00000r2f8Q,C[C@H](CN=[N+]=[N-])NC(=O)/C=C/CN(C)C(=O)C[C@]12CCC[C@@H]1C2
H24P070,ZINCod00000HLqgc,CC1(C)C[C@@H](NC(=O)C[C@H]2C[C@H]2CNC(=O)Cc2cc[nH]n2)CO1
H25P100,ZINCpg00000VW6G7,C[C@H]1CNc2c(C(=O)N3CC4(CC[C@H](CC(=O)O)OC4)C3)cnn2C1
H21P080,ZINCle00001bPvhs,CN(C)C(=O)C(C)(C)CNC(=O)N(CCF)[C@H]1CCOC1
H25P260,ZINCpw00000xCXOc,C[C@]1(NC(=O)C2CC(CC3CC3)C2)C[C@@H](NC(=O)Cc2cncs2)C1
H25P190,ZINCpp00000SOeKn,O=C(NCCCCC(=O)N1CCCCC[C@@H]1CO)c1ccc(CO)s1
H20P190,ZINCkp00001bPvgK,CN(C)C(=O)C(C)(C)CNC(=O)C1(C(F)(F)F)CCC1
H25P190,ZINCpp00000SOeJm,O=C(NCCCCCO)[C@@H]1CN(C(=O)CC2C[C@H]3C[C@@H]3C2)CC12CC2
H25P140,ZINCpk00000SOeJd,O=C(NCCCCCO)[C@H]1CCN(C(=O)[C@@H]2CCCOCC2)C12CC2
H24P310,ZINCoB00000m13hQ,Cn1cncc1[C@H]1CCCCN1C(=O)c1cc2c(cc1Cl)OCO2
H23P220,ZINCns00000r2f8R,C[C@H](CN=[N+]=[N-])NC(=O)/C=C/CN(C)C(=O)[C@@H]1CCC(F)(F)C1
H25P170,ZINCpn00000SOeJb,O=C(NCC#CCCO)[C@H]1CCN(C(=O)C2=CCCCCC2)C12CC2
H25P320,ZINCpC00000O4g7J,CCc1cc(CN(CC2(F)CCC2)C(=O)c2cccc(CO)c2)no1
H25P260,ZINCpw00000xCXNR,C[C@@]1(NC(=O)c2cc(C3CC3)no2)CCCC[C@@H]1C(=O)NCC(F)F
H25P210,ZINCpr000002rHMb,CCn1cc(Cl)c(C(=O)NC[C@H](C)NC(=O)c2ccc(OC)cc2)n1
H24P350,ZINCoF0000050tlw,CC[C@@H](CC(=O)N1CCC(NC(=O)C=CC2CCC2)CC1)C(C)C
H24P200,ZINCoq00000mpIBO,CC(C)CCCC(=O)N1CCSC[C@H]1C(=O)N[C@@H]1CC[C@H](CO)C1
H19P030,ZINCj900001bPvh7,CN(C)C(=O)C(C)(C)CNC(=O)[C@H]1CCNC12CC2
H24M000,ZINCo500000204yh,COC[C@@H](O)C(=O)NC[C@@H](C)N(C)C(=O)c1cc2n(n1)CCCN2
H25P050,ZINCpb00002sYBSd,COC(=O)c1cccn1CC(=O)N1CCN(CC(C)(C)C(=O)O)CC1
H24P350,ZINCoF0000050thF,CC[C@@H](CC(=O)N1CCC(C)(CNC(=O)CCCF)CC1)C(C)C
H25P260,ZINCpw00000xCXOd,C[C@@]1(NC(=O)c2ccc(-c3cccc(C#N)c3)cc2)CCCNC1=O
H23P250,ZINCnv00000r2f8A,C[C@H](CN=[N+]=[N-])NC(=O)CC(C)(C)N(C)C(=O)C1CC(C)(F)C1
H23P050,ZINCnb00000gEhQX,CCCC[C@@H](O)C(=O)NC[C@H]1C[C@@H](O)CN1C(=O)c1ccco1
H24P260,ZINCow000007IX5j,Cc1ccoc1C(=O)NC[C@H](CC(F)(F)F)NC(=O)[C@H]1CCCS1
H23P050,ZINCnb00000gEgXn,CCCC[C@@H](CC)C(=O)N[C@H]1CCN(C(=O)CS(N)(=O)=O)[C@@H]1C
H24P320,ZINCoC00000m13hG,Cn1cncc1[C@H]1CCCCN1Cc1cc2c(nc1Cl)CCOC2
H24P120,ZINCoi00000op9s4,Cc1cnc(CNC(=O)[C@@H]2CCN2C(=O)CSc2ncccn2)s1
H25P120,ZINCpi00000SOeJC,O=C(NC/C=C/CC(=O)N1CC2(CCCCC2)C1)C(=O)NCC(F)F
H25P250,ZINCpv00000xCXNF,C[C@@]1(NC(=O)C2=CCC2)CCC[C@H]1NC(=O)c1ccc(O)c(F)c1F
H23P050,ZINCnb00000gEgnu,CCCCSCC(=O)N1CC[C@@](O)(CCNC(=O)C2(O)CC2)C1
H25P070,ZINCpd00002sYBSg,COC(=O)[C@]1(C)CCN1C(=O)C(C)(C)c1cn(C[C@H]2CCOC2)nn1
H25P020,ZINCp800002sYBS6,COC(=O)[C@]1(C)C[C@H](NC(=O)N2CCC[C@@](CO)(CCO)C2)CCO1
H25P400,ZINCpK00000FExrf,C[C@@]1(Br)C[C@@H]1CN(CC[C@H]1CCCC[C@H]1O)C(=O)C1=C[C@H]2C=C[C@H]1C2
H23P050,ZINCnb00000gEgof,CCCCSCC(=O)N1CC[C@H](NC(=O)[C@H]([C@H](C)O)N(C)C)C1
H25P210,ZINCpr000002rHkL,CCn1cc(Cl)c(C(=O)N2CCC[C@H]2Cn2cc([C@H](C)OC)nn2)n1
H25P100,ZINCpg00002sYBRE,COC(=O)c1ccc(C(=O)N[C@@H]2CN(C(=O)C3CC=CC3)C[C@H]2F)[nH]1
H19P050,ZINCjb00001bPvhb,CN(C)C(=O)C(C)(C)CNC(=O)[C@H](F)[C@H]1CCOC1
H24M000,ZINCo500000204D1,COC[C@@H](O)C(=O)NC[C@@H](C)NC(=O)C[C@@H](C(F)F)n1cccn1
H25P160,ZINCpm00000SOeJV,O=C(NCCCCC(=O)N1CCc2ccccc21)c1cc(CO)on1
H23P050,ZINCnb00000gEgmx,CCCCSCC(=O)N1CC[C@@H](N(C)C(=O)[C@@H](CO)N(C)C)C1
H25M000,ZINCp500000VW6FQ,C[C@H]1CN2CCN1[C@@H](C(=O)N[C@H]1C[C@H](NC(=O)C3=CSCCO3)C1)C2
H24P130,ZINCoj00000op9rZ,Cc1cnc(CNC(=O)[C@@H]2CCN2C(=O)c2cccnc2Cl)cn1
H20P170,ZINCkn00001bPvgX,CN(C)C(=O)C(C)(C)CNC(=O)[C@H]1CC12CCSCC2
H25M000,ZINCp500002sYBRB,COC(=O)C1CC(CC(=O)NC[C@H]2COCCN2C(=O)C[C@@H](C)O)C1
H25P330,ZINCpD00000O4g83,CCC1CC(CN(C[C@@]2(F)CCOC2)C(=O)c2cc(C(F)F)[nH]n2)C1
H24P170,ZINCon00000si4fk,CCOC(=O)[C@@H]1C[C@]12C[C@@H]2C(=O)N[C@H](CO)c1cc(F)ccc1F
H25P400,ZINCpK00000FExri,C[C@@]1(Br)C[C@@H]1CN(CC[C@@H]1CCCC[C@H]1O)C(=O)[C@H]1C[C@H](N=[N+]=[N-])C1
H24P260,ZINCow000007IWIq,Cc1ccoc1C(=O)NCC[C@@H]1CC[C@H](NC(=O)c2ccc[nH]2)C1
H25P180,ZINCpo00000SJ7JI,C=C[C@H](OC)C(=O)N[C@@H]1CCC[C@@H](N(C)C(=O)COC2CC=CC2)C1
H25M000,ZINCp500002sYBRM,COC(=O)c1cc([C@H](C(=O)NC2CC2)N2CC[C@@](CO)(OC)C2)no1
H25P100,ZINCpg00000VW6FW,C[C@@H]1CN(c2ccccc2)CCN1N1C[C@H]2[C@@H](C1)[C@@H]1C[C@H]2[C@@H](O)[C@H]1O
H24P280,ZINCoy00000m13hy,Cn1cncc1C[C@H](NC(=O)Cc1c(Cl)cc(Br)cc1Cl)C(=O)O
H21P120,ZINCli00001bPvgS,CN(C)C(=O)C(C)(C)CNC(=O)/C=C/CN1CCCCC1
H25P100,ZINCpg00000VW6Fq,C[C@H]1[C@@H](NC(=O)CS(N)(=O)=O)CCN1C(=O)c1csc(C(C)(C)C)c1
H24P310,ZINCoB00000m13hA,Cn1cncc1CCNC(=O)NCc1cc(-c2ccccc2)cs1
H25P140,ZINCpk00000SOeJq,O=C(NCCCCCO)[C@@H]1CN(C(=O)COCC2CC2)C2(CCC2)C1
H25P230,ZINCpt000003jny3,O=C(Cc1ccco1)N1C[C@@H]2[C@@H](C[C@H]2NC(=O)C2(C3CC3)CCC2)C1
H25P210,ZINCpr000002rGXP,CCn1cc(CC(=O)N[C@H]2C[C@H](C)N(C(=O)c3coc(Cl)c3)C2)cn1
H24P050,ZINCob00000HLqfW,CC1(C)C[C@@H](NC(=O)[C@](C)(CO)NC(=O)[C@]23COC[C@H]2C3)C12CC2
H23P280,ZINCny00000r2f8L,C[C@H](CN=[N+]=[N-])NC(=O)CC[C@H]1CC[C@@H](NC(=O)C(C)(C)Cl)C1
H23P240,ZINCnu00000r2f90,C[C@H](CN=[N+]=[N-])NC(=O)C[C@H]1CC[C@@H](NC(=O)C=CC2CC2)C1
H25P250,ZINCpv00000xCXOh,C[C@@]1(NC(=O)C2=CCCCC2)CCCC[C@H]1C(=O)NCc1ncc[nH]1
H23P300,ZINCnA000003KA0Z,CC(C)C[C@@H](C)CC(=O)N[C@]1(CF)CCN(C(=O)C2(Br)CC2)C1
H20P040,ZINCka00001bPvhi,CN(C)C(=O)C(C)(C)CNC(=O)N1C[C@@H](O)C12CCC2
H24P040,ZINCoa00000HLqg1,CC1(C)C[C@H](NC(=O)[C@](C)(CO)NC(=O)C[C@@H]2CCCO2)CCO1
H19P160,ZINCjm00001bPvh5,CN(C)C(=O)C(C)(C)CNC(=O)[C@H]1C[C@H]2CC[C@H]1C2
H24P330,ZINCoD00000m13hT,Cn1cncc1[C@@H]1CCCCN1C(=O)c1cccc(C(C)(C)F)n1
H23P250,ZINCnv00000r2f8B,C[C@H](CN=[N+]=[N-])NC(=O)CC(C)(C)N(C)C(=O)C[C@H]1CCSC1
H21P310,ZINClB00000g4coe,C[C@H]1CC2(CCN(C(=O)Nc3ncccc3I)CC2)CO1
H24P310,ZINCoB00000m13hw,Cn1cncc1/C=C/C(=O)NN1CCC(c2ccc(Br)cc2)CC1
H25P140,ZINCpk00000SOeJo,O=C(NCCC#CCO)[C@@H]1CN(C(=O)C[C@H]2CCSC2)C2(CCC2)C1
H24P170,ZINCon00000si4ff,CCOC(=O)[C@@H]1C[C@]12C[C@H]2C(=O)N(CCO)Cc1cccc(F)c1
H23P050,ZINCnb00000gEgXM,CCCC[C@@H](CN)NC(=O)[C@H]1CC(=O)N(C)[C@@H]1c1nccn1C
H25P260,ZINCpw00000xCXNH,C[C@@]1(NC(=O)C2CCC2)CCC[C@H]1NC(=O)C[C@H]1CC2(CCO1)CC2
H25P390,ZINCpJ00000FExrm,C[C@]1(Br)C[C@H]1CN(CC[C@@H]1CCC[C@H]1O)C(=O)C1CC2(C1)CC2(F)F
H20P070,ZINCkd00001bPvgH,CN(C)C(=O)C(C)(C)CNC(=O)c1cc(C#N)n(C)c1
H23P200,ZINCnq00000r2f8S,C[C@H](CN=[N+]=[N-])NC(=O)/C=C/CN(C)C(=O)[C@H]1C[C@@H]1C(F)(F)F
H25P150,ZINCpl00000SOeJl,O=C(NCCCCCO)[C@@H]1CN(C(=O)C2CC(F)(CF)C2)CC12CC2
H24M000,ZINCo500000204Kp,COC[C@@H](O)C(=O)NC[C@@H](C)NC(=O)c1nccc(C(F)(F)F)n1
H24P230,ZINCot00000mpIBI,CCC(CC)CC(=O)N1CCSC[C@H]1C(=O)N(C)[C@@H]1CCCOC1
H25M100,ZINCp400002sYBSk,COC(=O)[C@@]1(C)CCN1C(=O)[C@@](C)(CO)NC(=O)[C@H]([C@H](C)O)N(C)C
H23P050,ZINCnb00000gEgbI,CCCCS(=O)(=O)Cc1nc([C@@H](O)CC)nn1-c1cnnn1C
H25M000,ZINCp500002sYBRG,COC(=O)c1ccc(C(=O)N[C@@H](C)CNc2cc(=O)n(C)c(O)n2)[nH]1
H23P050,ZINCnb00000gEdmR,CCCCCC(=O)NCC1CN(C(=O)[C@@H](C)N2CCNC2=O)C1
H24P230,ZINCot00000mpIBU,C=CC(C)(C)CC(=O)N1CC(SC)(C(=O)N2C[C@H]3C[C@@H]2[C@@H]2C[C@H]32)C1
H25P230,ZINCpt000003jnEX,O=C(Cc1ccco1)N[C@@H]1C=CCN(C(=O)c2cc(O)ccc2Cl)C1
H25P280,ZINCpy00000xCXNq,CC1(NC(=O)C2CC3(CCN(C(=O)[C@H]4C[C@@H]5C[C@@H]5C4)C3)C2)CC=CC1
H22P390,ZINCmJ00000azjLb,Cc1nc(Br)c(C(=O)Nc2cnc(-c3ccccc3)cn2)s1
H24P100,ZINCog00000HLqg5,CC1(C)C[C@H](NC(=O)C[C@H]2C=C[C@@H](NC(=O)C3CSC3)C2)C(=O)O1
H25M100,ZINCp400002sYBS0,COC(=O)[C@]1(C)C[C@H](NC(=O)[C@H](CNC(=O)c2n[nH]c(=N)[nH]2)OC)C1
H25P290,ZINCpz00000O4g8j,CCC1CC(CN(CC2(n3cccn3)CC2)C(=O)c2n[nH]cc2C)C1
H23P050,ZINCnb00000gEfGZ,CCCCOCC(=O)N[C@@H]1CN(C(=O)[C@@H]2C[C@@H]3C[C@@H]3C2)C[C@@H]1O
H24P280,ZINCoy00000m13hD,Cn1cncc1CC(=O)N[C@@]1(C(F)(F)F)CCCc2ccccc21
H24P180,ZINCoo00000si4fA,CCOC(=O)[C@H]1CC12CCN(c1ccnc(-n3ccnc3)n1)CC2
H24M000,ZINCo500000204oa,COC[C@@H](O)C(=O)NC[C@@H](C)CN(C)C(=O)c1ccc(CO)nc1
H19P070,ZINCjd00001bPvh8,CN(C)C(=O)C(C)(C)CNC(=O)[C@@H]1O[C@H]2CC[C@H]1C2
H25P270,ZINCpx00000xCXNB,C[C@]1(NC(=O)C2CCC2)CCCC[C@H]1C(=O)NCc1ccncc1F
H24P350,ZINCoF0000050tn3,CC[C@@H](CC(=O)N1CCC([C@H](C)NC(=O)CCCF)CC1)C(C)C
H17P090,ZINChf00001bPvgU,CN(C)C(=O)C(C)(C)CNC(=O)C[C@H]1C[C@H]1F
H25P210,ZINCpr000002rHn1,CCn1cc(Cl)c(C(=O)N2CC[C@@H](C)[C@H]2CNC(=O)C2=CCSC2)n1
